LCLid,day,morning,afternoon,evening,night,total_consumption
MAC000155,2011-11-24,2.709,0.9259999999999999,4.313,6.533000000000002,14.481000000000002
MAC000155,2011-11-25,3.1139999999999994,0.8449999999999998,2.9850000000000003,6.745,13.689
MAC000155,2011-11-26,3.4579999999999997,2.805,3.176,6.640999999999998,16.08
MAC000155,2011-11-27,3.8569999999999998,3.6950000000000003,3.067,5.4410000000000025,16.060000000000002
MAC000155,2011-11-28,4.603000000000001,1.0219999999999998,3.6169998999999997,6.678999999999997,15.920999899999996
MAC000155,2011-11-29,2.6380000000000003,0.5959999999999998,2.466,6.9110000000000005,12.611
MAC000155,2011-11-30,2.902,1.5569999999999997,2.856,6.288,13.603
MAC000155,2011-12-01,3.0460000000000003,1.2759999999999998,2.8200000000000003,4.652000000000001,11.794
MAC000155,2011-12-02,4.497999999999999,1.3059999999999998,4.013,6.0920000000000005,15.909
MAC000155,2011-12-03,4.324,1.6739999999999997,2.333,6.748999899999999,15.079999899999999
MAC000155,2011-12-04,3.3729999999999998,3.012,4.447,3.670000000000001,14.502000000000002
MAC000155,2011-12-05,4.191000000000001,1.075,2.436,3.980999999999997,11.682999999999998
MAC000155,2011-12-06,3.209,1.2609999999999997,2.806,7.838999999999996,15.114999999999995
MAC000155,2011-12-07,2.604,0.8519999999999995,2.606,6.147999999999994,12.209999999999994
MAC000155,2011-12-08,2.76,1.273,3.0780000000000003,5.594,12.705
MAC000155,2011-12-09,2.262,1.69,3.6559999999999997,5.321000000000001,12.929
MAC000155,2011-12-10,5.208,1.6749999999999998,4.406,5.611999999999997,16.900999999999996
MAC000155,2011-12-11,3.231,1.725,2.662,7.668,15.286
MAC000155,2011-12-12,2.4740000000000006,1.906,4.777,6.265,15.422
MAC000155,2011-12-13,2.334,2.3019999999999996,4.0400001,6.109000000000002,14.785000100000001
MAC000155,2011-12-14,2.5799999999999996,2.772,3.1559999999999997,6.338,14.846
MAC000155,2011-12-15,3.7180000000000004,2.3309999999999995,2.8009999999999997,6.442000099999998,15.292000099999997
MAC000155,2011-12-16,3.198,1.9679999999999997,4.098999999999999,6.563999999999999,15.828999999999997
MAC000155,2011-12-17,6.335,3.5629999999999997,3.991,4.729999999999997,18.618999999999996
MAC000155,2011-12-18,3.874,2.9699999999999998,5.993999999999999,6.246000100000004,19.0840001
MAC000155,2011-12-19,3.808,4.364000000000001,5.477,9.067999999999998,22.717
MAC000155,2011-12-20,3.115,2.489,3.9879999999999995,7.896000000000001,17.488
MAC000155,2011-12-21,6.613999999999999,2.9839999999999995,3.9829999999999997,8.426000000000002,22.007
MAC000155,2011-12-22,4.1760000999999995,4.67,6.713000000000001,6.262000000000009,21.82100010000001
MAC000155,2011-12-23,4.854,5.342000099999999,5.770999999999999,10.196000000000007,26.163000100000005
MAC000155,2011-12-24,5.205,3.912,3.886,4.333000000000001,17.336000000000002
MAC000155,2011-12-25,2.774,3.012,3.6979999999999995,7.148000000000001,16.631999999999998
MAC000155,2011-12-26,4.712000000000001,3.791,7.008,7.814999999999997,23.325999999999997
MAC000155,2011-12-27,4.91,4.170999999999999,5.3180000000000005,8.286999999999995,22.685999999999996
MAC000155,2011-12-28,4.797,3.844,5.928000000000001,7.604999999999995,22.173999999999996
MAC000155,2011-12-29,5.049,4.567,6.174,7.980000000000003,23.770000000000003
MAC000155,2011-12-30,5.082,2.8770000000000002,5.0920000000000005,7.665999999999997,20.717
MAC000155,2011-12-31,5.476999999999999,3.2079999999999997,4.75,6.958999999999998,20.394
MAC000155,2012-01-01,3.197,6.456999999999998,5.194,7.984000000000004,22.832000000000004
MAC000155,2012-01-02,3.7409999999999997,1.6209999999999998,4.727,6.473999999999995,16.562999999999995
MAC000155,2012-01-03,4.903,5.854,3.7199999999999998,7.916000000000003,22.393000000000004
MAC000155,2012-01-04,5.16,3.4609999999999994,3.911,7.286,19.817999999999998
MAC000155,2012-01-05,3.8569999999999998,4.742999899999999,4.981000000000001,5.675,19.2559999
MAC000155,2012-01-06,4.412999999999999,1.294,3.5469999999999997,6.703,15.956999999999997
MAC000155,2012-01-07,6.3039999999999985,3.2380000000000004,3.86,7.757999999999999,21.159999999999997
MAC000155,2012-01-08,5.829000000000001,2.3160000000000003,1.601,5.0520000000000005,14.798000000000002
MAC000155,2012-01-09,4.775,2.4709999999999996,4.898000000000001,5.220999999999994,17.364999999999995
MAC000155,2012-01-10,3.991999999999999,2.1579999999999995,3.679,6.193000100000001,16.0220001
MAC000155,2012-01-11,2.341,2.09,4.321,7.065999800000002,15.8179998
MAC000155,2012-01-12,3.329,1.52,3.069,6.012000000000001,13.930000000000001
MAC000155,2012-01-13,2.515,1.642,3.208,6.539,13.904
MAC000155,2012-01-14,4.882000000000001,1.7149999999999999,2.937,6.247000099999999,15.7810001
MAC000155,2012-01-15,5.310000100000001,4.760999999999999,3.3269999999999995,6.576000000000006,19.974000100000005
MAC000155,2012-01-16,3.235,1.945,3.119,5.41,13.709
MAC000155,2012-01-17,2.569,1.514,5.758,4.871000000000001,14.712000000000003
MAC000155,2012-01-18,2.63,0.805,3.056,6.751999999999996,13.242999999999995
MAC000155,2012-01-19,2.813,1.9299999999999997,4.146,6.457999999999999,15.346999999999998
MAC000155,2012-01-20,2.908,2.488,2.6879999999999997,3.6880000000000033,11.772000000000002
