LCLid,year,month,morning,afternoon,evening,night,total_consumption
MAC000155,2011,11,23.281000000000002,11.445999999999998,22.4799999,45.238,102.4449999
MAC000155,2011,12,123.7920001,83.8620001,131.9070001,205.6610001,545.2220004
MAC000155,2012,1,119.1360001,77.31399979999999,117.8990001,195.63899980000002,509.9879998
MAC000155,2012,2,102.4010001,63.744,91.518,158.09399999999997,415.75700009999997
MAC000155,2012,3,97.277,43.846,75.6230001,144.1339999,360.88
MAC000155,2012,4,76.976,45.300999999999995,71.3499999,110.79700009999998,304.424
MAC000155,2012,5,79.94500000000001,46.1680001,83.26599999999999,114.9199999,324.299
MAC000155,2012,6,93.583,45.803,91.172,139.5750001,370.1330001
MAC000155,2012,7,49.537,32.282,49.1019997,75.10599999999998,206.02699969999998
MAC000155,2012,8,105.629,65.30199999999999,90.618,141.88500000000002,403.434
MAC000155,2012,9,108.9599999,59.0850001,103.528,146.35999999999999,417.933
MAC000155,2012,10,99.301,58.101,101.5430001,141.50800030000002,400.4530004
MAC000155,2012,11,101.058,57.445999900000004,95.2060002,159.76399999999998,413.4740001
MAC000155,2012,12,111.4650001,92.6319999,120.9329999,181.65800009999998,506.688
MAC000155,2013,1,130.061,76.003,118.9879997,187.112,512.1639997
MAC000155,2013,2,101.6680001,67.033,93.27900000000001,167.02200019999998,429.0020003
MAC000155,2013,3,114.81700000000001,61.771,91.3160002,177.62699990000002,445.5310001
MAC000155,2013,4,110.623,60.1259999,95.293,139.1469999,405.18899980000003
MAC000155,2013,5,116.8679999,72.382,104.4209999,153.597,447.2679998
MAC000155,2013,6,90.55,51.632,78.173,134.19199989999998,354.54699989999995
MAC000155,2013,7,77.606,43.397999999999996,69.955,153.83999999999997,344.799
MAC000155,2013,8,106.496,63.294,86.235,149.66899999999998,405.69399999999996
MAC000155,2013,9,119.1930002,62.903,111.5389999,173.4639998,467.0989999
MAC000155,2013,10,107.426,56.251999999999995,106.259,141.205,411.142
MAC000155,2013,11,109.35000000000001,53.4619999,89.535,157.4800001,409.827
MAC000155,2013,12,127.07900000000001,92.68599999999999,110.26699980000001,187.66,517.6919998
MAC000155,2014,1,137.6420001,77.741,123.3180001,186.4150002,525.1160004
MAC000155,2014,2,123.306,75.535,99.85700010000001,165.37699959999998,464.0749997
MAC000326,2012,3,114.2209998,23.648,35.875,146.97999969999998,320.7239995
MAC000326,2012,4,171.8870003,34.1239998,76.7200001,204.792,487.5230002
MAC000326,2012,5,161.7100006,46.017999999999994,67.70100049999999,222.05699950000002,497.4860006
MAC000326,2012,6,88.27399989999999,28.717,62.9419999,178.05100089999996,357.98400069999997
MAC000326,2012,7,78.3640001,27.374,35.2139999,73.6140001,214.5660001
MAC000326,2012,8,56.80199999999999,23.764999999999997,36.562999999999995,81.17700010000001,198.3070001
MAC000326,2012,9,96.51199989999999,19.874999999999996,51.042,112.2269998,279.6559997
MAC000326,2012,10,140.8040002,40.083999999999996,88.8509999,152.2869996,422.0259997
MAC000326,2012,11,246.3870009,83.5609999,134.9640002,359.6920008999999,824.6040019
MAC000326,2012,12,229.0270001,77.3439999,149.2980003,269.78500069999996,725.454001
MAC000326,2013,1,296.5430003,96.4410002,165.6970001,375.14099949999996,933.8220001
MAC000326,2013,2,213.6169996,67.258,93.483,248.63100039999995,622.989
MAC000326,2013,3,298.7679999,153.4519994,159.5499997,379.14100060000004,990.9109996000001
MAC000326,2013,4,204.9630002,52.348,99.55400039999999,283.2130003,640.0780009
MAC000326,2013,5,116.4680003,25.534,44.882999999999996,161.6599999,348.5450002
MAC000326,2013,6,87.77999989999999,20.069,35.254,102.21499999999999,245.3179999
MAC000326,2013,7,61.224999999999994,18.648999999999997,26.728999999999996,61.345000000000006,167.948
MAC000326,2013,8,49.945,17.916999999999998,34.219,74.8920001,176.9730001
MAC000326,2013,9,89.517,21.0880001,69.36899989999999,125.80000009999999,305.77400009999997
MAC000326,2013,10,119.2689999,31.197,75.1340001,166.8950001,392.49500009999997
MAC000326,2013,11,214.3099998,125.8850005,146.20700010000002,219.37199969999998,705.7740001
MAC000326,2013,12,183.2869998,83.7639999,131.64100009999999,240.73600040000002,639.4280002
MAC000326,2014,1,201.1919997,75.407,125.7009999,263.6179992,665.9179988
MAC000326,2014,2,167.944,46.8460001,83.5449999,213.47200030000002,511.8070003
MAC000442,2012,3,10.843,4.726,11.607,15.925,43.101
MAC000442,2012,4,46.357,26.592,45.747,49.748999999999995,168.445
MAC000442,2012,5,45.23,24.674,38.961999999999996,55.622,164.488
MAC000442,2012,6,40.392999999999994,21.282999999999998,32.477999999999994,48.43899999999999,142.593
MAC000442,2012,7,30.315999999999995,23.533999899999998,22.581999999999997,32.779,109.21099989999999
MAC000442,2012,8,32.82599999999999,18.912999999999997,19.087999999999997,32.79599999999999,103.62299999999999
MAC000442,2012,9,40.945,21.763999999999996,30.794999999999998,43.08499999999999,136.58899999999997
MAC000442,2012,10,50.857000199999995,22.783999999999995,42.913,50.773999999999994,167.3280002
MAC000442,2012,11,58.759000099999994,31.72,43.647,57.759,191.88500009999998
MAC000442,2012,12,69.217,47.263,59.164,65.771,241.415
MAC000442,2013,1,65.402,36.343999999999994,50.107,55.660000000000004,207.51299999999998
MAC000442,2013,2,67.7279999,25.333,44.464,51.05800000000001,188.5829999
MAC000442,2013,3,66.1489998,31.357,48.765000099999995,54.849999999999994,201.1209999
MAC000442,2013,4,57.803,28.872,45.096,49.716,181.487
MAC000442,2013,5,55.97,20.851999999999997,34.023999999999994,49.482,160.328
MAC000442,2013,6,48.068,20.813999999999997,33.413999999999994,49.675999999999995,151.97199999999998
MAC000442,2013,7,49.774,18.613999999999997,35.714,49.08500000000001,153.187
MAC000442,2013,8,45.683,21.269999999999996,39.208999999999996,51.48399999999999,157.646
MAC000442,2013,9,52.653,24.201999999999998,35.57,47.11300000000001,159.538
MAC000442,2013,10,58.174,24.673999999999996,42.196,54.67,179.714
MAC000442,2013,11,51.745999999999995,24.456,45.327999999999996,55.70100000000001,177.231
MAC000442,2013,12,49.949999999999996,26.698999999999998,47.961999999999996,58.903,183.51399999999998
MAC000442,2014,1,60.004,27.11,55.562999999999995,56.961999999999996,199.63899999999998
MAC000442,2014,2,48.034,25.996,40.67,48.783,163.483
MAC000455,2012,3,77.0650001,31.913,39.306,88.3860002,236.6700003
MAC000455,2012,4,278.0870002,122.67199980000001,135.7900001,291.3260000000001,827.8750001000001
MAC000455,2012,5,232.4449997,95.404,113.2130002,223.86300019999996,664.9250000999999
MAC000455,2012,6,170.0369998,78.017,88.643,163.22099979999996,499.9179996
MAC000455,2012,7,169.344,63.938,80.609,131.471,445.362
MAC000455,2012,8,178.4120001,70.35,88.699,165.614,503.0750001
MAC000455,2012,9,217.3490003,84.1679998,111.593,195.393,608.5030001
MAC000455,2012,10,266.3770001,121.89499980000001,154.5830001,272.56499999999994,815.42
MAC000455,2012,11,321.6129999,151.0510001,187.287,363.10599990000003,1023.0569999
MAC000455,2012,12,373.7849998,186.9420001,225.8290001,435.4099995000001,1221.9659995000002
MAC000455,2013,1,336.0759992,175.8929997,198.5970001,381.8329998,1092.3989988
MAC000455,2013,2,344.6179995,179.5489994,207.25,407.1189996999999,1138.5359985999999
MAC000455,2013,3,374.9990002,174.5219999,223.9290003,457.0729999999999,1230.5230004
MAC000455,2013,4,266.7329997,113.99000000000001,143.6379998,310.3809999,834.7419994
MAC000455,2013,5,198.4499999,78.7689999,107.5120001,216.90499989999998,601.6359998
MAC000455,2013,6,156.0919999,64.623,77.109,125.82899999999997,423.65299989999994
MAC000455,2013,7,131.635,55.473999899999995,75.376,109.63100000000003,372.1159999
MAC000455,2013,8,136.367,53.1419999,75.301,113.674,378.4839999
MAC000455,2013,9,182.379,70.774,103.5569999,191.432,548.1419999
MAC000455,2013,10,199.3050002,88.803,144.716,238.29199999999997,671.1160002
MAC000455,2013,11,234.2690001,107.309,156.883,292.675,791.1360001
