acorn,year,month,avg_morning,avg_afternoon,avg_evening,avg_night,avg_total_consumption
ACORN-A,2013,1,5.731824029,4.061329188,5.835167779,7.609682642,23.23800364
ACORN-A,2013,2,5.535563605,3.716452721,5.21842585,7.406153062,21.87659524
ACORN-A,2013,3,5.525167432,3.790056321,5.18292256,7.458671261,21.95681757
ACORN-A,2013,4,5.042833494,3.072963929,4.065233816,5.841882446,18.02291369
ACORN-A,2013,5,4.478710059,2.597811896,3.517113672,5.197131735,15.79076736
ACORN-A,2013,6,4.134944211,2.458839729,3.17585682,4.95316801,14.72280877
ACORN-A,2013,7,3.70046166,2.165475487,2.727215902,4.829953803,13.42310685
ACORN-A,2013,8,3.757157962,2.197784044,2.967763217,4.817451458,13.74015668
ACORN-A,2013,9,4.323715462,2.582863502,3.867025717,5.010876031,15.78448071
ACORN-A,2013,10,4.616502086,2.754486044,4.315787296,5.157666666,16.84444209
ACORN-A,2013,11,5.033807745,3.475975183,5.117837195,6.666065189,20.29368531
ACORN-A,2013,12,5.335183673,3.797821592,5.314665898,6.986537525,21.43420869
ACORN-B,2013,1,3.480141011,2.371796897,3.747795602,4.452047867,14.05178138
ACORN-B,2013,2,3.345087208,2.163433139,3.305181689,4.108360466,12.9220625
ACORN-B,2013,3,3.738124491,2.435571041,3.473925576,4.498874153,14.14649526
ACORN-B,2013,4,3.248595537,1.987811715,2.700659692,3.61695258,11.55401952
ACORN-B,2013,5,3.075726045,1.826240216,2.527375168,3.290789473,10.7201309
ACORN-B,2013,6,2.874905898,1.740783707,2.352544944,3.198068821,10.16630337
ACORN-B,2013,7,2.555964723,1.555559024,2.027940299,3.069987788,9.209451833
ACORN-B,2013,8,2.554681511,1.493155196,2.08963023,3.07811606,9.215582997
ACORN-B,2013,9,3.148247568,1.968069541,2.963938803,3.397995828,11.47825174
ACORN-B,2013,10,3.263154573,1.989553763,3.220923387,3.616416667,12.09004839
ACORN-B,2013,11,3.410981842,2.347175976,3.604497207,4.361891061,13.72454609
ACORN-B,2013,12,3.706426367,2.749276296,3.959307151,4.808367462,15.22337728
ACORN-C,2013,1,3.693627229,2.613694215,3.886617224,4.389174423,14.58311309
ACORN-C,2013,2,3.565324337,2.382413735,3.550754216,4.233928434,13.73242072
ACORN-C,2013,3,3.495545853,2.34199803,3.323511928,4.173222806,13.33427862
ACORN-C,2013,4,3.250683295,1.966872998,2.737712586,3.447930664,11.40319954
ACORN-C,2013,5,2.96321048,1.790609423,2.398397621,3.252782915,10.40500044
ACORN-C,2013,6,2.759438452,1.698751308,2.209706712,3.17201843,9.839914903
ACORN-C,2013,7,2.678015011,1.642133333,2.083886092,3.276107506,9.680141943
ACORN-C,2013,8,2.636323588,1.626397563,2.2088567,3.193604651,9.665182503
ACORN-C,2013,9,2.928048848,1.809403917,2.764324423,3.320892166,10.82266935
ACORN-C,2013,10,3.074321599,1.888534863,3.0419062,3.356911878,11.36167454
ACORN-C,2013,11,3.241665183,2.18002179,3.488166354,3.949247188,12.85910051
ACORN-C,2013,12,3.574928902,2.558424038,3.696668596,4.284915933,14.11493747
ACORN-D,2013,1,4.309611471,2.964082791,4.460674763,5.611941385,17.34631041
ACORN-D,2013,2,4.339808746,2.852377917,4.219992605,5.521656382,16.93383565
ACORN-D,2013,3,4.152219902,2.806189691,3.933414437,5.510110816,16.40193485
ACORN-D,2013,4,3.67271661,2.215263742,3.084396336,4.2272365,13.19961319
ACORN-D,2013,5,3.313568057,2.003397359,2.681222924,3.852467811,11.85065615
ACORN-D,2013,6,3.058744535,1.869212707,2.396832347,3.625416234,10.95020582
ACORN-D,2013,7,2.758590609,1.699684167,2.093896767,3.488322912,10.04049445
ACORN-D,2013,8,2.646993851,1.636608207,2.13456386,3.342760052,9.76092597
ACORN-D,2013,9,3.147961016,1.896799103,2.884000249,3.712189812,11.64095018
ACORN-D,2013,10,3.459947414,2.104611576,3.363955665,3.970402463,12.89891712
ACORN-D,2013,11,3.680450828,2.442040637,3.924062293,4.90019656,14.94675032
ACORN-D,2013,12,3.857534807,2.733158105,4.056991001,5.094220097,15.74190401
ACORN-E,2013,1,3.263802819,2.242552651,3.122438044,4.762006649,13.39080016
